Date;Annee;Trimestre;MoisNum;MoisNom;MoisAbrege;AnneeMois;AnneeMoisTri;Jour;JourSemaine;EstJourOuvre;EstPasse
2025-01-01;2025;T1;1;janvier;Jan;2025-01;202501;1;mercredi;0;1
2025-01-02;2025;T1;1;janvier;Jan;2025-01;202501;2;jeudi;1;1
2025-01-03;2025;T1;1;janvier;Jan;2025-01;202501;3;vendredi;1;1
2025-01-04;2025;T1;1;janvier;Jan;2025-01;202501;4;samedi;0;1
2025-01-05;2025;T1;1;janvier;Jan;2025-01;202501;5;dimanche;0;1
2025-01-06;2025;T1;1;janvier;Jan;2025-01;202501;6;lundi;1;1
2025-01-07;2025;T1;1;janvier;Jan;2025-01;202501;7;mardi;1;1
2025-01-08;2025;T1;1;janvier;Jan;2025-01;202501;8;mercredi;1;1
2025-01-09;2025;T1;1;janvier;Jan;2025-01;202501;9;jeudi;1;1
2025-01-10;2025;T1;1;janvier;Jan;2025-01;202501;10;vendredi;1;1
2025-01-11;2025;T1;1;janvier;Jan;2025-01;202501;11;samedi;0;1
2025-01-12;2025;T1;1;janvier;Jan;2025-01;202501;12;dimanche;0;1
2025-01-13;2025;T1;1;janvier;Jan;2025-01;202501;13;lundi;1;1
2025-01-14;2025;T1;1;janvier;Jan;2025-01;202501;14;mardi;1;1
2025-01-15;2025;T1;1;janvier;Jan;2025-01;202501;15;mercredi;1;1
2025-01-16;2025;T1;1;janvier;Jan;2025-01;202501;16;jeudi;1;1
2025-01-17;2025;T1;1;janvier;Jan;2025-01;202501;17;vendredi;1;1
2025-01-18;2025;T1;1;janvier;Jan;2025-01;202501;18;samedi;0;1
2025-01-19;2025;T1;1;janvier;Jan;2025-01;202501;19;dimanche;0;1
2025-01-20;2025;T1;1;janvier;Jan;2025-01;202501;20;lundi;1;1
2025-01-21;2025;T1;1;janvier;Jan;2025-01;202501;21;mardi;1;1
2025-01-22;2025;T1;1;janvier;Jan;2025-01;202501;22;mercredi;1;1
2025-01-23;2025;T1;1;janvier;Jan;2025-01;202501;23;jeudi;1;1
2025-01-24;2025;T1;1;janvier;Jan;2025-01;202501;24;vendredi;1;1
2025-01-25;2025;T1;1;janvier;Jan;2025-01;202501;25;samedi;0;1
2025-01-26;2025;T1;1;janvier;Jan;2025-01;202501;26;dimanche;0;1
2025-01-27;2025;T1;1;janvier;Jan;2025-01;202501;27;lundi;1;1
2025-01-28;2025;T1;1;janvier;Jan;2025-01;202501;28;mardi;1;1
2025-01-29;2025;T1;1;janvier;Jan;2025-01;202501;29;mercredi;1;1
2025-01-30;2025;T1;1;janvier;Jan;2025-01;202501;30;jeudi;1;1
2025-01-31;2025;T1;1;janvier;Jan;2025-01;202501;31;vendredi;1;1
2025-02-01;2025;T1;2;février;Fév;2025-02;202502;1;samedi;0;1
2025-02-02;2025;T1;2;février;Fév;2025-02;202502;2;dimanche;0;1
2025-02-03;2025;T1;2;février;Fév;2025-02;202502;3;lundi;1;1
2025-02-04;2025;T1;2;février;Fév;2025-02;202502;4;mardi;1;1
2025-02-05;2025;T1;2;février;Fév;2025-02;202502;5;mercredi;1;1
2025-02-06;2025;T1;2;février;Fév;2025-02;202502;6;jeudi;1;1
2025-02-07;2025;T1;2;février;Fév;2025-02;202502;7;vendredi;1;1
2025-02-08;2025;T1;2;février;Fév;2025-02;202502;8;samedi;0;1
2025-02-09;2025;T1;2;février;Fév;2025-02;202502;9;dimanche;0;1
2025-02-10;2025;T1;2;février;Fév;2025-02;202502;10;lundi;1;1
2025-02-11;2025;T1;2;février;Fév;2025-02;202502;11;mardi;1;1
2025-02-12;2025;T1;2;février;Fév;2025-02;202502;12;mercredi;1;1
2025-02-13;2025;T1;2;février;Fév;2025-02;202502;13;jeudi;1;1
2025-02-14;2025;T1;2;février;Fév;2025-02;202502;14;vendredi;1;1
2025-02-15;2025;T1;2;février;Fév;2025-02;202502;15;samedi;0;1
2025-02-16;2025;T1;2;février;Fév;2025-02;202502;16;dimanche;0;1
2025-02-17;2025;T1;2;février;Fév;2025-02;202502;17;lundi;1;1
2025-02-18;2025;T1;2;février;Fév;2025-02;202502;18;mardi;1;1
2025-02-19;2025;T1;2;février;Fév;2025-02;202502;19;mercredi;1;1
2025-02-20;2025;T1;2;février;Fév;2025-02;202502;20;jeudi;1;1
2025-02-21;2025;T1;2;février;Fév;2025-02;202502;21;vendredi;1;1
2025-02-22;2025;T1;2;février;Fév;2025-02;202502;22;samedi;0;1
2025-02-23;2025;T1;2;février;Fév;2025-02;202502;23;dimanche;0;1
2025-02-24;2025;T1;2;février;Fév;2025-02;202502;24;lundi;1;1
2025-02-25;2025;T1;2;février;Fév;2025-02;202502;25;mardi;1;1
2025-02-26;2025;T1;2;février;Fév;2025-02;202502;26;mercredi;1;1
2025-02-27;2025;T1;2;février;Fév;2025-02;202502;27;jeudi;1;1
2025-02-28;2025;T1;2;février;Fév;2025-02;202502;28;vendredi;1;1
2025-03-01;2025;T1;3;mars;Mar;2025-03;202503;1;samedi;0;1
2025-03-02;2025;T1;3;mars;Mar;2025-03;202503;2;dimanche;0;1
2025-03-03;2025;T1;3;mars;Mar;2025-03;202503;3;lundi;1;1
2025-03-04;2025;T1;3;mars;Mar;2025-03;202503;4;mardi;1;1
2025-03-05;2025;T1;3;mars;Mar;2025-03;202503;5;mercredi;1;1
2025-03-06;2025;T1;3;mars;Mar;2025-03;202503;6;jeudi;1;1
2025-03-07;2025;T1;3;mars;Mar;2025-03;202503;7;vendredi;1;1
2025-03-08;2025;T1;3;mars;Mar;2025-03;202503;8;samedi;0;1
2025-03-09;2025;T1;3;mars;Mar;2025-03;202503;9;dimanche;0;1
2025-03-10;2025;T1;3;mars;Mar;2025-03;202503;10;lundi;1;1
2025-03-11;2025;T1;3;mars;Mar;2025-03;202503;11;mardi;1;1
2025-03-12;2025;T1;3;mars;Mar;2025-03;202503;12;mercredi;1;1
2025-03-13;2025;T1;3;mars;Mar;2025-03;202503;13;jeudi;1;1
2025-03-14;2025;T1;3;mars;Mar;2025-03;202503;14;vendredi;1;1
2025-03-15;2025;T1;3;mars;Mar;2025-03;202503;15;samedi;0;1
2025-03-16;2025;T1;3;mars;Mar;2025-03;202503;16;dimanche;0;1
