PortfolioID;Portfolio;Segment;OrdrePortfolio
PF01;Portfolio 01;Run;1
PF02;Portfolio 02;Build;2
PF03;Portfolio 03;Transformation;3
PF04;Portfolio 04;Run;4
PF05;Portfolio 05;Build;5
PF06;Portfolio 06;Transformation;6
PF07;Portfolio 07;Run;7
PF08;Portfolio 08;Build;8
PF09;Portfolio 09;Transformation;9
PF10;Portfolio 10;Run;10
PF11;Portfolio 11;Build;11
PF12;Portfolio 12;Transformation;12
PF13;Portfolio 13;Run;13
PF14;Portfolio 14;Build;14
PF15;Portfolio 15;Transformation;15
PF16;Portfolio 16;Run;16
PF17;Portfolio 17;Build;17
PF18;Portfolio 18;Transformation;18
