ResID;Ressource;TribuID;SquadID;SocieteID;TypeRessource;Profil;DateEntree;DateSortie;TJM_EUR;CoutJournalier_EUR;TauxActivite;TauxAbsence;FTE
RES0001;Ressource 0001;T04;T04-S03;SOC99;Interne;Interne;2025-03-20;;480;543;0,9034;0,1687;1,00
RES0002;Ressource 0002;T01;T01-S04;SOC02;Externe;ADC;2025-11-16;2026-10-03;735;859;0,8675;0,0906;0,50
RES0003;Ressource 0003;T05;T05-S01;SOC01;Externe;ADC;2024-03-24;;750;958;0,9645;0,0457;0,60
RES0004;Ressource 0004;T02;T02-S05;SOC02;Externe;ADC;2023-03-01;;563;754;0,9182;0,0194;0,80
RES0005;Ressource 0005;T06;T06-S03;SOC02;Externe;PU;2024-10-20;2026-02-11;784;962;0,9295;0,1392;1,00
RES0006;Ressource 0006;T06;T06-S05;SOC06;Externe;PU;2025-08-15;;956;1284;0,6850;0,0728;1,00
RES0007;Ressource 0007;T04;T04-S02;SOC01;Externe;ADC;2025-11-01;;683;756;0,8088;0,0830;1,00
RES0008;Ressource 0008;T02;T02-S05;SOC01;Externe;ADC;2022-12-30;2026-01-11;665;820;0,7212;0,1342;0,80
RES0009;Ressource 0009;T11;T11-S02;SOC99;Interne;Interne;2023-10-11;;539;640;0,9688;0,1031;1,00
RES0010;Ressource 0010;T04;T04-S05;SOC99;Interne;Interne;2023-02-09;;491;557;0,7276;0,0965;0,50
RES0011;Ressource 0011;T06;T06-S05;SOC99;Interne;Interne;2023-01-11;;551;604;0,7771;0,0841;0,50
RES0012;Ressource 0012;T03;T03-S04;SOC04;Externe;PU;2024-06-11;2026-08-16;980;1142;0,7857;0,0776;1,00
RES0013;Ressource 0013;T07;T07-S01;SOC99;Interne;Interne;2024-05-06;2026-09-28;396;511;0,7426;0,0317;0,80
RES0014;Ressource 0014;T10;T10-S01;SOC99;Interne;Interne;2023-07-30;;393;460;0,6282;0,1052;1,00
RES0015;Ressource 0015;T03;T03-S01;SOC05;Externe;ADC;2026-03-03;2027-11-05;572;612;0,8944;0,0133;1,00
RES0016;Ressource 0016;T02;T02-S03;SOC03;Externe;ADC;2024-02-26;;677;720;0,7731;0,1330;1,00
RES0017;Ressource 0017;T12;T12-S03;SOC01;Externe;ADC;2024-12-21;;683;907;0,8372;0,0022;1,00
RES0018;Ressource 0018;T12;T12-S02;SOC02;Externe;ADC;2024-10-28;;555;681;0,9204;0,0686;0,60
RES0019;Ressource 0019;T09;T09-S02;SOC99;Interne;Interne;2026-03-01;2028-05-10;580;707;0,7847;0,0246;0,80
RES0020;Ressource 0020;T01;T01-S05;SOC01;Externe;ADC;2025-11-18;;614;798;0,6703;0,0691;0,60
RES0021;Ressource 0021;T10;T10-S03;SOC01;Externe;ADC;2024-05-18;2026-12-18;532;703;0,9170;0,1292;0,80
RES0022;Ressource 0022;T05;T05-S02;SOC01;Externe;PU;2023-11-21;;621;725;0,6793;0,0875;0,80
RES0023;Ressource 0023;T03;T03-S04;SOC03;Externe;ADC;2023-11-30;;687;741;0,9056;0,0271;0,80
RES0024;Ressource 0024;T09;T09-S05;SOC05;Externe;ADC;2024-08-19;2026-06-01;701;740;0,9776;0,1586;1,00
RES0025;Ressource 0025;T03;T03-S02;SOC99;Interne;Interne;2023-05-13;2027-04-11;550;730;0,9400;0,0532;1,00
RES0026;Ressource 0026;T08;T08-S04;SOC02;Externe;ADC;2023-11-29;2025-12-24;707;822;0,9125;0,0783;0,60
RES0027;Ressource 0027;T01;T01-S05;SOC04;Externe;ADC;2024-11-16;;683;869;0,8497;0,0136;1,00
RES0028;Ressource 0028;T05;T05-S01;SOC99;Interne;Interne;2023-04-18;2025-06-19;446;592;0,9999;0,0692;1,00
RES0029;Ressource 0029;T06;T06-S01;SOC99;Interne;Interne;2025-05-31;2026-08-14;490;590;0,7687;0,0053;0,60
RES0030;Ressource 0030;T01;T01-S02;SOC02;Externe;ADC;2023-07-23;;752;794;0,7413;0,1454;1,00
RES0031;Ressource 0031;T09;T09-S02;SOC05;Externe;PU;2025-05-19;;695;817;0,6233;0,0036;0,50
RES0032;Ressource 0032;T01;T01-S03;SOC05;Externe;PU;2025-10-09;;834;1067;0,9227;0,0104;1,00
RES0033;Ressource 0033;T03;T03-S03;SOC99;Interne;Interne;2024-02-01;;453;497;0,7840;0,1194;1,00
RES0034;Ressource 0034;T10;T10-S05;SOC99;Interne;Interne;2023-10-26;;620;764;0,7705;0,1667;1,00
RES0035;Ressource 0035;T12;T12-S01;SOC01;Externe;ADC;2026-03-09;;560;724;0,6658;0,1752;0,80
RES0036;Ressource 0036;T11;T11-S03;SOC99;Alternant;Alternant;2026-04-02;;202;261;0,9734;0,1793;0,60
RES0037;Ressource 0037;T02;T02-S04;SOC02;Externe;ADC;2023-11-01;;525;663;0,8767;0,1338;1,00
RES0038;Ressource 0038;T05;T05-S05;SOC99;Interne;Interne;2026-01-22;;553;681;0,8566;0,1898;1,00
RES0039;Ressource 0039;T03;T03-S05;SOC99;Interne;Interne;2022-11-13;;439;557;0,9632;0,0722;1,00
RES0040;Ressource 0040;T03;T03-S03;SOC02;Externe;PU;2025-09-08;;705;796;0,7640;0,0405;1,00
RES0041;Ressource 0041;T11;T11-S05;SOC99;Interne;Interne;2025-05-01;;539;688;0,9706;0,0446;1,00
RES0042;Ressource 0042;T01;T01-S04;SOC06;Externe;ADC;2025-03-01;2025-08-19;523;550;0,7561;0,0070;1,00
RES0043;Ressource 0043;T06;T06-S05;SOC01;Externe;ADC;2024-05-10;;724;798;0,9615;0,1426;0,80
RES0044;Ressource 0044;T03;T03-S05;SOC01;Externe;ADC;2022-11-29;;721;797;0,8394;0,1739;1,00
RES0045;Ressource 0045;T05;T05-S02;SOC03;Externe;ADC;2023-07-07;;673;815;0,6753;0,0678;1,00
RES0046;Ressource 0046;T07;T07-S01;SOC03;Externe;PU;2025-08-03;;651;769;0,6213;0,1476;1,00
RES0047;Ressource 0047;T08;T08-S02;SOC01;Externe;ADC;2023-07-14;;777;953;0,7573;0,0666;0,80
RES0048;Ressource 0048;T06;T06-S01;SOC01;Externe;ADC;2025-06-04;;624;811;0,7813;0,0540;1,00
RES0049;Ressource 0049;T05;T05-S03;SOC03;Externe;ADC;2022-12-30;;726;871;0,6933;0,0994;1,00
RES0050;Ressource 0050;T03;T03-S03;SOC02;Externe;ADC;2022-11-23;;482;639;0,7270;0,0764;0,80
RES0051;Ressource 0051;T08;T08-S03;SOC03;Externe;ADC;2023-05-16;2027-03-25;593;740;0,9946;0,1356;0,80
RES0052;Ressource 0052;T06;T06-S05;SOC01;Externe;PU;2025-04-24;2027-03-26;946;1143;0,8032;0,1858;0,60
RES0053;Ressource 0053;T07;T07-S02;SOC99;Alternant;Alternant;2025-06-05;;256;332;0,7694;0,0111;1,00
RES0054;Ressource 0054;T11;T11-S03;SOC02;Externe;ADC;2023-10-19;2027-03-08;636;777;0,9457;0,0462;0,80
RES0055;Ressource 0055;T04;T04-S03;SOC03;Externe;ADC;2023-08-29;;687;739;0,6293;0,1452;0,50
RES0056;Ressource 0056;T07;T07-S02;SOC04;Externe;ADC;2025-09-17;;512;559;0,8147;0,1578;1,00
RES0057;Ressource 0057;T04;T04-S03;SOC01;Externe;PU;2022-08-19;2026-02-26;872;1127;0,9455;0,1023;0,60
RES0058;Ressource 0058;T02;T02-S03;SOC03;Externe;PU;2025-03-12;;704;856;0,7282;0,1826;1,00
RES0059;Ressource 0059;T10;T10-S01;SOC99;Interne;Interne;2026-01-08;;449;577;0,6805;0,1040;1,00
RES0060;Ressource 0060;T03;T03-S03;SOC01;Externe;ADC;2024-10-09;;527;652;0,8340;0,0871;0,60
RES0061;Ressource 0061;T03;T03-S04;SOC99;Interne;Interne;2025-11-14;;492;548;0,9315;0,1370;0,50
RES0062;Ressource 0062;T11;T11-S04;SOC04;Externe;ADC;2025-11-19;;630;807;0,8323;0,1769;1,00
RES0063;Ressource 0063;T01;T01-S01;SOC03;Externe;ADC;2024-01-21;;708;795;0,6529;0,1593;0,60
RES0064;Ressource 0064;T06;T06-S05;SOC99;Interne;Interne;2023-07-23;;450;490;0,9239;0,0134;0,60
