SquadID;Squad;TribuID
T01-S01;Squad 01;T01
T01-S02;Squad 02;T01
T01-S03;Squad 03;T01
T01-S04;Squad 04;T01
T01-S05;Squad 05;T01
T02-S01;Squad 01;T02
T02-S02;Squad 02;T02
T02-S03;Squad 03;T02
T02-S04;Squad 04;T02
T02-S05;Squad 05;T02
T03-S01;Squad 01;T03
T03-S02;Squad 02;T03
T03-S03;Squad 03;T03
T03-S04;Squad 04;T03
T03-S05;Squad 05;T03
T04-S01;Squad 01;T04
T04-S02;Squad 02;T04
T04-S03;Squad 03;T04
T04-S04;Squad 04;T04
T04-S05;Squad 05;T04
T05-S01;Squad 01;T05
T05-S02;Squad 02;T05
T05-S03;Squad 03;T05
T05-S04;Squad 04;T05
T05-S05;Squad 05;T05
T06-S01;Squad 01;T06
T06-S02;Squad 02;T06
T06-S03;Squad 03;T06
T06-S04;Squad 04;T06
T06-S05;Squad 05;T06
T07-S01;Squad 01;T07
T07-S02;Squad 02;T07
T07-S03;Squad 03;T07
T07-S04;Squad 04;T07
T07-S05;Squad 05;T07
T08-S01;Squad 01;T08
T08-S02;Squad 02;T08
T08-S03;Squad 03;T08
T08-S04;Squad 04;T08
T08-S05;Squad 05;T08
T09-S01;Squad 01;T09
T09-S02;Squad 02;T09
T09-S03;Squad 03;T09
T09-S04;Squad 04;T09
T09-S05;Squad 05;T09
T10-S01;Squad 01;T10
T10-S02;Squad 02;T10
T10-S03;Squad 03;T10
T10-S04;Squad 04;T10
T10-S05;Squad 05;T10
T11-S01;Squad 01;T11
T11-S02;Squad 02;T11
T11-S03;Squad 03;T11
T11-S04;Squad 04;T11
T11-S05;Squad 05;T11
T12-S01;Squad 01;T12
T12-S02;Squad 02;T12
T12-S03;Squad 03;T12
T12-S04;Squad 04;T12
T12-S05;Squad 05;T12
