Date;ObjetID;PortfolioID;TribuID;Budget_Initial_EUR;Budget_Engage_EUR;Budget_Consomme_EUR;Reste_A_Faire_EUR
2025-01-01;DMND0000001;PF14;T02;3533,97;3379,52;4620,65;0,00
2025-02-01;DMND0000001;PF14;T02;3304,91;3145,85;4321,16;0,00
2025-03-01;DMND0000001;PF14;T02;3211,09;3204,88;4198,49;0,00
2025-04-01;DMND0000001;PF14;T02;4788,71;4951,06;6261,22;0,00
2025-05-01;DMND0000001;PF14;T02;3075,69;3078,29;4021,45;0,00
2025-06-01;DMND0000001;PF14;T02;3586,59;3768,93;4689,45;0,00
2025-07-01;DMND0000001;PF14;T02;6059,59;6023,91;7922,88;0,00
2025-08-01;DMND0000001;PF14;T02;2331,80;2331,68;3048,82;0,00
2025-09-01;DMND0000001;PF14;T02;7399,46;7574,45;9674,76;0,00
2025-10-01;DMND0000001;PF14;T02;8980,59;9018,27;11742,08;0,00
2025-11-01;DMND0000001;PF14;T02;7968,01;7821,45;10418,14;0,00
2025-12-01;DMND0000001;PF14;T02;7246,26;7117,60;9474,45;0,00
2026-01-01;DMND0000001;PF14;T02;8020,11;7247,82;10486,26;0,00
2026-02-01;DMND0000001;PF14;T02;7841,76;7927,23;10253,07;0,00
2026-03-01;DMND0000001;PF14;T02;9472,71;9779,42;12385,52;0,00
2026-04-01;DMND0000001;PF14;T02;28968,05;26583,34;37875,59;0,00
2026-05-01;DMND0000001;PF14;T02;17886,39;17749,84;23386,38;0,00
2026-06-01;DMND0000001;PF14;T02;28695,65;28385,19;37519,43;0,00
2026-07-01;DMND0000001;PF14;T02;23562,30;23955,93;30807,60;0,00
2026-08-01;DMND0000001;PF14;T02;11278,42;11499,20;14746,48;0,00
2026-09-01;DMND0000001;PF14;T02;0,00;0,00;0,00;0,00
2026-10-01;DMND0000001;PF14;T02;0,00;0,00;0,00;0,00
2026-11-01;DMND0000001;PF14;T02;0,00;0,00;0,00;0,00
2025-01-01;DMND0000002;PF02;T06;15677,52;14351,12;19870,67;0,00
2025-02-01;DMND0000002;PF02;T06;14351,73;12958,07;18190,29;0,00
2025-03-01;DMND0000002;PF02;T06;17143,45;17730,95;21728,68;0,00
2025-04-01;DMND0000002;PF02;T06;17527,52;16952,06;22215,48;0,00
2025-05-01;DMND0000002;PF02;T06;15736,83;15966,06;19945,85;0,00
2025-06-01;DMND0000002;PF02;T06;19293,70;18796,91;24454,05;0,00
2025-07-01;DMND0000002;PF02;T06;22914,68;22258,13;29043,51;0,00
2025-08-01;DMND0000002;PF02;T06;9363,04;8328,49;11867,31;0,00
2025-09-01;DMND0000002;PF02;T06;21192,06;19390,37;26860,15;0,00
2025-10-01;DMND0000002;PF02;T06;22569,62;20085,24;28606,16;0,00
2025-11-01;DMND0000002;PF02;T06;19480,26;18661,05;24690,50;0,00
2025-12-01;DMND0000002;PF02;T06;17050,64;17749,03;21611,05;0,00
2026-01-01;DMND0000002;PF02;T06;20185,79;19804,64;25584,74;0,00
2026-02-01;DMND0000002;PF02;T06;18735,77;18272,82;23746,89;0,00
2026-03-01;DMND0000002;PF02;T06;25794,07;23807,05;32693,03;0,00
2026-04-01;DMND0000002;PF02;T06;35669,06;35454,09;45209,21;0,00
2026-05-01;DMND0000002;PF02;T06;25941,26;24847,67;32879,58;0,00
2026-06-01;DMND0000002;PF02;T06;32006,94;28264,71;40567,61;0,00
2026-07-01;DMND0000002;PF02;T06;33038,24;29512,00;41874,74;0,00
2026-08-01;DMND0000002;PF02;T06;12566,92;12093,21;15928,11;0,00
2026-09-01;DMND0000002;PF02;T06;0,00;0,00;0,00;0,00
2026-10-01;DMND0000002;PF02;T06;0,00;0,00;0,00;0,00
2026-11-01;DMND0000002;PF02;T06;0,00;0,00;0,00;0,00
2025-01-01;DMND0000003;PF14;T10;28296,15;27031,01;21587,79;6708,36
2025-02-01;DMND0000003;PF14;T10;20594,07;20961,58;15711,69;4882,38
