Date;ResID;ObjetID;PortfolioID;TribuID;JH_Planifies;JH_Consommes;Cout_Consomme_EUR;Cout_Planifie_EUR
2025-03-01;RES0001;DMND0000088;PF04;T04;12,41;11,38;6176,76;6738,00
2025-03-01;RES0001;DMND0000025;PF11;T04;9,98;9,27;5035,79;5416,51
2025-04-01;RES0001;DMND0000088;PF04;T04;11,19;11,84;6429,47;6076,74
2025-04-01;RES0001;DMND0000025;PF11;T04;10,41;8,57;4656,00;5651,89
2025-05-01;RES0001;DMND0000088;PF04;T04;9,07;7,56;4103,29;4926,17
2025-05-01;RES0001;DMND0000025;PF11;T04;8,09;6,43;3493,96;4393,34
2025-06-01;RES0001;DMND0000088;PF04;T04;11,19;11,96;6496,78;6077,98
2025-06-01;RES0001;DMND0000025;PF11;T04;9,61;7,64;4145,85;5217,91
2025-07-01;RES0001;DMND0000088;PF04;T04;9,20;9,83;5338,61;4996,20
2025-07-01;RES0001;DMND0000025;PF11;T04;11,03;10,79;5856,90;5988,91
2025-08-01;RES0001;DMND0000088;PF04;T04;3,75;3,83;2079,18;2038,34
2025-08-01;RES0001;DMND0000025;PF11;T04;4,47;4,27;2319,67;2425,48
2025-09-01;RES0001;DMND0000088;PF04;T04;10,92;10,13;5500,86;5932,18
2025-09-01;RES0001;DMND0000025;PF11;T04;9,31;8,13;4416,26;5054,75
2025-10-01;RES0001;DMND0000088;PF04;T04;11,59;10,92;5931,83;6293,60
2025-10-01;RES0001;DMND0000025;PF11;T04;10,65;11,16;6057,42;5781,98
2025-11-01;RES0001;DMND0000088;PF04;T04;9,59;7,60;4126,26;5204,85
2025-11-01;RES0001;DMND0000025;PF11;T04;10,10;8,28;4495,12;5483,62
2025-12-01;RES0001;DMND0000088;PF04;T04;7,56;7,83;4251,63;4103,68
2025-12-01;RES0001;DMND0000025;PF11;T04;7,14;6,81;3699,24;3876,63
2026-01-01;RES0001;DMND0000088;PF04;T04;8,75;8,19;4449,15;4752,53
2026-01-01;RES0001;DMND0000025;PF11;T04;7,75;7,46;4048,35;4208,39
2026-02-01;RES0001;DMND0000088;PF04;T04;9,33;8,46;4596,08;5064,38
2026-02-01;RES0001;DMND0000025;PF11;T04;7,85;6,47;3512,71;4264,01
2026-03-01;RES0001;DMND0000088;PF04;T04;11,70;12,69;6888,51;6350,85
2026-03-01;RES0001;DMND0000025;PF11;T04;11,74;9,25;5024,51;6372,63
2026-04-01;RES0001;DMND0000088;PF04;T04;11,51;9,79;5316,13;6247,86
2026-04-01;RES0001;DMND0000025;PF11;T04;13,33;13,39;7270,17;7235,80
2026-05-01;RES0001;DMND0000088;PF04;T04;7,22;7,21;3913,68;3920,24
2026-05-01;RES0001;DMND0000025;PF11;T04;7,68;7,10;3852,95;4172,48
2026-06-01;RES0001;DMND0000088;PF04;T04;9,88;8,22;4461,69;5365,27
2026-06-01;RES0001;DMND0000025;PF11;T04;9,46;9,84;5345,21;5136,62
2026-07-01;RES0001;DMND0000088;PF04;T04;9,47;8,32;4518,57;5139,77
2026-07-01;RES0001;DMND0000025;PF11;T04;9,17;9,13;4959,93;4981,49
