Date;ResID;TribuID;SquadID;SocieteID;TypeRessource;Profil;Present;FTE
2025-03-01;RES0001;T04;T04-S03;SOC99;Interne;Interne;1;1,00
2025-04-01;RES0001;T04;T04-S03;SOC99;Interne;Interne;1;1,00
2025-05-01;RES0001;T04;T04-S03;SOC99;Interne;Interne;1;1,00
2025-06-01;RES0001;T04;T04-S03;SOC99;Interne;Interne;1;1,00
2025-07-01;RES0001;T04;T04-S03;SOC99;Interne;Interne;1;1,00
2025-08-01;RES0001;T04;T04-S03;SOC99;Interne;Interne;1;1,00
2025-09-01;RES0001;T04;T04-S03;SOC99;Interne;Interne;1;1,00
2025-10-01;RES0001;T04;T04-S03;SOC99;Interne;Interne;1;1,00
2025-11-01;RES0001;T04;T04-S03;SOC99;Interne;Interne;1;1,00
2025-12-01;RES0001;T04;T04-S03;SOC99;Interne;Interne;1;1,00
2026-01-01;RES0001;T04;T04-S03;SOC99;Interne;Interne;1;1,00
2026-02-01;RES0001;T04;T04-S03;SOC99;Interne;Interne;1;1,00
2026-03-01;RES0001;T04;T04-S03;SOC99;Interne;Interne;1;1,00
2026-04-01;RES0001;T04;T04-S03;SOC99;Interne;Interne;1;1,00
2026-05-01;RES0001;T04;T04-S03;SOC99;Interne;Interne;1;1,00
2026-06-01;RES0001;T04;T04-S03;SOC99;Interne;Interne;1;1,00
2026-07-01;RES0001;T04;T04-S03;SOC99;Interne;Interne;1;1,00
2026-08-01;RES0001;T04;T04-S03;SOC99;Interne;Interne;1;1,00
2026-09-01;RES0001;T04;T04-S03;SOC99;Interne;Interne;1;1,00
2026-10-01;RES0001;T04;T04-S03;SOC99;Interne;Interne;1;1,00
2026-11-01;RES0001;T04;T04-S03;SOC99;Interne;Interne;1;1,00
2026-12-01;RES0001;T04;T04-S03;SOC99;Interne;Interne;1;1,00
2025-11-01;RES0002;T01;T01-S04;SOC02;Externe;ADC;1;0,50
2025-12-01;RES0002;T01;T01-S04;SOC02;Externe;ADC;1;0,50
2026-01-01;RES0002;T01;T01-S04;SOC02;Externe;ADC;1;0,50
2026-02-01;RES0002;T01;T01-S04;SOC02;Externe;ADC;1;0,50
2026-03-01;RES0002;T01;T01-S04;SOC02;Externe;ADC;1;0,50
2026-04-01;RES0002;T01;T01-S04;SOC02;Externe;ADC;1;0,50
2026-05-01;RES0002;T01;T01-S04;SOC02;Externe;ADC;1;0,50
2026-06-01;RES0002;T01;T01-S04;SOC02;Externe;ADC;1;0,50
2026-07-01;RES0002;T01;T01-S04;SOC02;Externe;ADC;1;0,50
2026-08-01;RES0002;T01;T01-S04;SOC02;Externe;ADC;1;0,50
2026-09-01;RES0002;T01;T01-S04;SOC02;Externe;ADC;1;0,50
2026-10-01;RES0002;T01;T01-S04;SOC02;Externe;ADC;1;0,50
2025-01-01;RES0003;T05;T05-S01;SOC01;Externe;ADC;1;0,60
2025-02-01;RES0003;T05;T05-S01;SOC01;Externe;ADC;1;0,60
2025-03-01;RES0003;T05;T05-S01;SOC01;Externe;ADC;1;0,60
