Page;Carte_X;Carte_Y;Carte_L;Carte_H;Masque_X;Masque_Y;Masque_L;Masque_H
P2;168;58;217;76;169;82;178;51
P2;393.7;58;217;76;394.7;82;178;51
P2;619.4;58;217;76;620.4;82;178;51
P2;845.1;58;217;76;846.1;82;178;51
P2;168;145;443;75;169;171;422;48
P2;620;145;217;75;621;169;178;50
P2;846;145;216;75;847;169;177;50
P2;168;231;443;169;169;267;441;132
P2;620;231;442;169;621;267;440;132
P2;168;407;894;303;169;436;892;273
P3;168;58;217;76;169;82;178;51
P3;393.7;58;217;76;394.7;82;178;51
P3;619.4;58;217;76;620.4;82;178;51
P3;845.1;58;217;76;846.1;82;178;51
P3;168;145;360;268;169;178;358;234
P3;537;145;525;268;538;178;523;234
P3;168;422;894;288;169;452;892;257
P4;168;58;172.4;76;169;82;133;51
P4;348.4;58;172.4;76;349.4;82;133;51
P4;528.8;58;172.4;76;529.8;82;133;51
P4;709.2;58;172.4;76;710.2;82;133;51
P4;889.6;58;172.4;76;890.6;82;133;51
P4;168;145;142.3;48;246;146;62;46
P4;318.3;145;142.3;48;396.3;146;62;46
P4;468.6;145;142.3;48;546.6;146;62;46
P4;618.9;145;142.3;48;696.9;146;62;46
P4;769.2;145;142.3;48;847.2;146;62;46
P4;919.5;145;142.3;48;997.5;146;62;46
P4;168;205;313;182;169;236;311;150
P4;489;205;314;182;490;230;312;156
P4;811;205;251;182;812;237;249;149
P4;168;397;443;313;169;423;441;286
P4;620;397;442;313;621;423;440;286
P5;168;58;172.4;76;169;82;133;51
P5;348.4;58;172.4;76;349.4;82;133;51
P5;528.8;58;172.4;76;529.8;82;133;51
P5;709.2;58;172.4;76;710.2;82;133;51
P5;889.6;58;172.4;76;890.6;82;133;51
P5;168;145;142.3;48;246;146;62;46
P5;318.3;145;142.3;48;396.3;146;62;46
P5;468.6;145;142.3;48;546.6;146;62;46
P5;618.9;145;142.3;48;696.9;146;62;46
P5;769.2;145;142.3;48;847.2;146;62;46
P5;919.5;145;142.3;48;997.5;146;62;46
P5;168;205;313;182;169;236;311;150
P5;489;205;314;182;490;230;312;156
P5;811;205;251;182;812;237;249;149
P5;168;397;443;313;169;423;441;286
P5;620;397;442;313;621;423;440;286
